,Unnamed: 0,Title,Price,Location,Description,Condition,year,Make,Model,Trim,Color,Body Type,Number of Doors,Number of Seats,Drive Train,Transmission,Mileage
0,0,2017 Ford Escape SE SE 4WD Heated Seats Backup Camera,"$20,898.00 ",Markham / York Region 18/10/2022,"Clean Carfax SE 4WD Heated Seats Backup Camera Bluetooth Cruise Control and more options...Buy your vehicle 100% online by simply clicking on the “build your deal button"". Nothing like curbside ...
Automatic | 132,380 km | CARFAX Canada Report",Used,2017.0,Ford,Escape,SE,White,"SUV, Crossover",4,5,4 x 4,Automatic,"132,380"
1,1,2021 Jeep Wrangler | Unlimited Sahara | Clean Carfax,"$54,887.00 ",Mississauga / Peel Region 18/10/2022,"| Unlimited Sahara | Clean Carfax | Navigation | Backup Cam | Heated Seats | Remote Start | Trailer Tow & HD Electrical Group | Blind Spot Detection | 8- Speed | Heated Steering Wheel | Apple Carplay ...
Automatic | 28,000 km | CARFAX Canada Report",Used,2021.0,Jeep,Wrangler,| Unlimited Sahara | Clean Carfax | Navigation |,Silver,Convertible,4,5,4 x 4,Automatic,"28,000"
2,2,2020 Toyota Corolla LE | Heated Seats | Back-up Camera,"$26,498.00 ",Provincial Top Ad:  Guelph < 16 hours ago,"*Heated Seats, Blind Spot Detection, Lane Keep Assist, LED Lights, Apple CarPlay!* This Toyota Corolla is safe, economical, practical and really fun to drive. This 2020 Toyota Corolla is for sale ...
Automatic | 75,661 km | CARFAX Canada Report",Used,2020.0,Toyota,Corolla,LE | Heated Seats | Back-up Camera,White,Sedan,4,5,Front-wheel drive (FWD),Automatic,"75,661"
3,3,2018 Volkswagen Atlas Highline 3.6L with 8sp 4MOTION,"$42,999.00 ",Mississauga / Peel Region 14/10/2022,"2018 Atlas Highline 4Motion finished in Deep Black Pearl Metallic paint on Titan Black Vienna Leather. Come see this one today! Engine: V6 Cylinder Engine 3.6L L/100Km City: 13.7 L/100Km Hwy: 10.1 ...
Automatic | 60,169 km | CARFAX Canada Report",Used,2018.0,Volkswagen,Atlas,Highline 3.6L with 8sp 4MOTION,Black,"SUV, Crossover",4,6,All-wheel drive (AWD),Automatic,"60,169"
4,4,"2018 Mercedes-Benz E-Class E400 4MATIC, NAV, 360 CAM, BURMESTER, HEATED SEATS","$57,800.00 ",City of Toronto 15/10/2022,"2018 MERCEDES BENZ E400 4MATIC COUPE | AWD | 3.0L TWIN TURBO V6 | 329HP | AMG STYLING PACKAGE | AMG SPORTS | SMARTPHONE INTEGRATION PACKAGE | NAVIGATION | 360 CAM | ADAPTIVE CRUISE CONTROL DISTRONIC ...
The future of luxury lives here.
Automatic | 59,349 km",Used,2018.0,Mercedes-Benz,E-Class,"E400 4MATIC, NAV, 360 CAM, BURMESTER, HEATED SEATS",White,Coupe (2 door),2,4,All-wheel drive (AWD),Automatic,"59,349"
5,5,2017 Nissan Murano,"$24,025.00 ",Provincial Top Ad:  Hamilton < 5 hours ago,"Check out this 2017 Nissan Murano while we still have it in stock! *You Can't Beat the Price with These Options * Window Grid And Roof Mount Diversity Antenna, Valet Function, Trunk/Hatch Auto-Latch, ...
Automatic | 127,699 km | CARFAX Canada Report",Used,2017.0,Nissan,Murano,,Black,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"127,699"
6,6,"2020 Land Rover Range Rover Evoque First Edition, DRIVE PKG, PARK PKG, NAV, HUD, PANO","$58,800.00 ",City of Toronto 14/10/2022,"CLEAN CARFAX | P250 FIRST EDITION (R-DYNAMIC SE+) | AWD | DRIVE PACKAGE | PARK PACKAGE | HEAD-UP DISPLAY | LANE KEEP ASSIST | NAVIGATION PRO | PANORAMIC MOONROOF | MERIDIAN SOUND SYSTEM | INTERACTIVE ...
The future of luxury lives here.
Automatic | 34,702 km",Used,2020.0,Land Rover,Range Rover Evoque,"First Edition, DRIVE PKG, PARK PKG, NAV, HUD, PANO",Grey,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"34,702"
7,7,2019 Honda Passport EX-L *** Excellent condition!! Super Pric...,"$38,480.00 ",Markham / York Region < 10 hours ago,"Drive this home for only $168.57/wk*** today!! New tires!! New brakes!!! Passport EXL with power tailgate!! One owner, Excellent interior, and well- equipped package, ! 19"" Alloy Wheels!! Heated ...
Honda Certified - Includes a Factory Backed Warranty giving you total peace of mind.
Automatic | 81,093 km | Certified Pre-owned CARFAX Canada Report",Used,2019.0,Honda,Passport,EX-L,White,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"81,093"
8,8,2020 Toyota Sienna LE,"$38,995.00 ",Provincial Top Ad:  Windsor Region < 22 hours ago,"*Family First at Audi Windsor: Move your loved one's with confidence !* Tried-and-true, this 2020 Toyota Sienna LE makes room for the whole team. Toyota Safety Sense P (TSS-P), Side Impact Beams, ...
Automatic | 88,372 km",Used,2020.0,Toyota,Sienna,LE,Blue,"Minivan, Van",4,8,Front-wheel drive (FWD),Automatic,"88,372"
9,9,2018 Ram 1500 | Longhorn | Clean Carfax | One Owner | Leather,"$44,758.00 ",Mississauga / Peel Region 14/10/2022,"| Longhorn | Clean Carfax | One Owner | Leather Seats | New Tires | Navigation | Backup Camera | Heated & Ventilated Seats | Heated Steering Wheel | Power Sunroof | Air Suspension | Trailer Brake ...
Automatic | 73,649 km | CARFAX Canada Report",Used,2018.0,Ram,1500,| Longhorn | Clean Carfax | One Owner | Leather Seats |,Red,Pickup Truck,4,5,4 x 4,Automatic,"73,649"
